Id,SMILES,source,TA98,TA100,TA102,TA1535,TA1537,Overall,Partition
1,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,isssty,1,1,-1,-1,1,1,Train
2,CC1(C)COC1=O,isssty,0,1,-1,0,0,1,External
3,CN(C)c1ccc(Cc2ccc(N(C)C)cc2)cc1,isssty,0,0,-1,0,0,-1,Train
4,CCN(N=O)c1ccccc1,isssty,0,0,-1,0,0,-1,External
5,CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1,isssty,0,0,-1,0,0,-1,External
6,CN(C)N=O,isssty,0,1,-1,1,-1,1,External
7,C1O[C@@H]1[C@H]1CO1,isssty,0,-1,-1,1,0,1,Train
8,Nc1ccc(-c2ccc(N)cc2)cc1,isssty,1,0,1,-1,-1,1,External
9,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,isssty,0,0,0,0,0,0,Train
10,Nc1ccc(-c2ccccc2)cc1,isssty,1,1,1,0,1,1,Train
11,COc1ccc([NH3+])c(OC)c1,isssty,0,0,-1,0,0,-1,Train
12,Nc1ccc2cc3ccc([NH3+])cc3nc2c1,isssty,1,1,-1,0,1,1,External
13,Nc1ccc2cc3ccccc3cc2c1,isssty,1,1,-1,1,1,1,Train
14,COC(=O)Nc1nc2ccccc2[nH]1,isssty,-1,0,0,0,-1,-1,Train
15,CCN(CC)N=O,isssty,1,1,0,1,-1,1,Train
16,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,isssty,0,0,-1,0,0,-1,Internal
17,O=[N+]([O-])c1ccc2ccc3cccc4ccc1c2c34,isssty,1,1,0,0,1,1,External
18,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,isssty,1,-1,-1,0,-1,1,Train
19,O=C([O-])c1ccccn1.O=C([O-])c1ccccn1.O=C([O-])c1ccccn1.[Cr+3],isssty,0,0,0,0,0,0,Train
20,Nc1ccc(Cl)c(N)c1,isssty,1,1,-1,0,1,1,Train
21,C[C@H]1Cc2c(Cl)cc(C(=O)N[C@@H](Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,isssty,0,0,0,0,0,0,Train
22,O=[N+]([O-])c1ccc2nc[nH]c2c1,isssty,0,1,-1,-1,0,1,External
23,c1ccccc1,isssty,0,0,0,0,0,0,Train
24,Nc1ccc2c(c1)Cc1ccccc1-2,isssty,1,1,-1,0,1,1,Train
25,c1ccc2cc3ccccc3cc2c1,isssty,0,0,-1,0,0,-1,Internal
26,O=C1c2ccccc2C(=O)c2ccccc21,isssty,0,0,0,0,0,0,Train
27,Nc1ccc([N+](=O)[O-])cc1,isssty,1,0,-1,0,0,1,Train
28,Cc1ccccc1N,isssty,0,0,0,0,0,0,External
29,Nc1ncc([N+](=O)[O-])s1,isssty,0,0,-1,0,0,-1,Train
30,C=CC#N,isssty,0,-1,0,1,0,1,Train
31,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,isssty,0,0,-1,0,0,-1,Train
32,CCNc1nc(Cl)nc(NC(C)C)n1,isssty,0,0,0,0,0,0,Train
33,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,isssty,0,0,-1,0,0,-1,Train
34,COc1c(Cl)c(Cl)c([N+](=O)[O-])c(Cl)c1Cl,isssty,0,0,-1,0,0,-1,Train
35,O=NN1CCCCC1,isssty,-1,1,-1,1,0,1,External
36,Nc1cccc(N)c1,isssty,1,1,-1,-1,1,1,Train
37,C=C(C)C(=O)OC,isssty,0,0,0,0,0,0,Train
38,Nc1ccccc1,isssty,0,0,0,0,0,0,Train
39,C=O,isssty,1,1,1,0,-1,1,External
40,ClCc1ccccc1,isssty,0,-1,-1,0,0,-1,Train
41,N#CC(C#N)=Cc1ccccc1Cl,isssty,0,0,0,0,0,0,Train
42,O=[N+]([O-])c1ccc2c(c1)Cc1ccccc1-2,isssty,1,1,1,0,1,1,Train
43,CC(=O)Nc1ccc(O)cc1,isssty,0,0,0,0,0,0,Train
44,O=N[O-],isssty,0,1,0,1,-1,1,Train
45,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21,isssty,0,0,-1,0,0,-1,Train
46,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,isssty,1,1,-1,-1,-1,1,Train
47,Nc1ccccc1N,isssty,1,1,-1,0,1,1,Train
48,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,isssty,1,1,1,0,1,1,Train
49,C=Cc1ccccc1C=C,isssty,0,0,-1,0,0,-1,Train
50,O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],isssty,1,1,1,1,0,1,Internal
51,O=CCCCC=O,isssty,0,1,1,0,0,1,Train
52,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,isssty,0,0,0,0,0,0,Train
53,BrC(Br)Br,isssty,0,0,-1,0,0,-1,Train
54,O=C(O)c1ccc(C(=O)O)cc1,isssty,0,0,0,0,0,0,External
55,CS(C)=O,isssty,0,0,0,0,0,0,Train
56,C=CCc1ccc2c(c1)OCO2,isssty,0,0,0,0,0,0,External
57,OO,isssty,0,-1,1,0,1,1,Train
58,Cc1ccc(N)cc1N,isssty,1,1,-1,0,-1,1,Train
59,O=Cc1ccccc1,isssty,0,0,0,0,0,0,Train
60,Nc1cc2c3ccccc3ccc2c2ccccc12,isssty,1,1,-1,0,-1,1,Train
61,O=NN1CCCC1,isssty,0,-1,1,1,-1,1,External
62,CC(=O)Oc1ccccc1C(=O)O,isssty,0,0,-1,0,0,-1,Train
63,COC(=O)c1ccc(C(=O)OC)cc1,isssty,0,0,0,0,0,0,Train
64,Nc1ccc(N)c([N+](=O)[O-])c1,isssty,1,1,-1,1,1,1,Train
65,[N-]=[N+]=[N-],isssty,0,1,-1,1,0,1,External
66,O=P1(N(CCCl)CCCl)NCCCO1,isssty,0,1,-1,1,0,1,Train
67,O=[N+]([O-])c1cc[n+]([O-])c2ccccc12,isssty,1,1,1,1,1,1,Train
68,O=Cc1ccco1,isssty,0,0,0,0,0,0,Train
69,ClC(Cl)(Cl)Cl,isssty,1,0,-1,0,0,1,Train
70,ClCCl,isssty,1,1,0,1,0,1,Train
71,CC(C)CON=O,isssty,0,1,-1,1,0,1,Internal
72,CC(=O)Nc1ccc(C(=O)CCl)cc1,isssty,1,0,-1,0,-1,1,Train
73,Cn1c(N)nc2c3cccnc3ccc21,isssty,1,1,-1,-1,-1,1,Train
74,O=C(O)COc1ccc(Cl)cc1Cl,isssty,0,0,0,0,0,0,Train
75,CN(C)P(=O)(N(C)C)N(C)C,isssty,0,0,0,0,0,0,External
76,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,isssty,1,1,1,1,1,1,Train
77,N#CC(Br)Br,isssty,0,0,-1,-1,0,-1,Train
78,Nc1ccc(N)cc1,isssty,1,0,0,0,0,1,Train
79,c1ccc2ccccc2c1,isssty,0,0,-1,0,0,-1,Train
80,CCC(C)=O,isssty,0,0,0,0,0,0,Train
81,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,isssty,0,0,0,0,0,0,Internal
82,C1N2CN3CN1CN(C2)C3,isssty,0,0,-1,0,0,-1,Train
83,Oc1ccccc1O,isssty,0,0,0,0,0,0,Internal
84,CCCCOC(C)=O,isssty,0,0,0,0,0,0,Train
85,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,isssty,0,-1,1,0,1,1,Train
86,CN(CCCC(=O)c1cccnc1)N=O,isssty,-1,-1,-1,1,-1,1,Train
87,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,isssty,1,1,1,-1,1,1,Train
88,C1COCCO1,isssty,0,0,-1,0,0,-1,Train
89,Cc1cc(-c2ccc(/N=N/c3cc(S(=O)(=O)[O-])c4ccccc4c3N)c(C)c2)ccc1/N=N/c1cc(S(=O)(=O)[O-])c2ccccc2c1N,isssty,0,0,-1,0,0,-1,Train
90,O=C1CCC(=O)O1,isssty,0,0,-1,0,0,-1,Train
91,ClC(Cl)Br,isssty,0,0,-1,0,-1,-1,Train
92,CC=O,isssty,0,0,0,0,0,0,Train
93,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,isssty,0,0,-1,0,0,-1,Train
94,[NH2][Pt]([NH2])([Cl])[Cl],isssty,1,1,1,-1,-1,1,Internal
95,O=C(Cl)c1ccc([N+](=O)[O-])cc1,isssty,1,1,-1,1,0,1,External
96,ClCC1CO1,isssty,0,1,-1,1,0,1,Train
97,Oc1ccccc1,isssty,0,0,0,0,0,0,Train
98,CC(C)C=O,isssty,0,0,0,0,0,0,Train
99,BrCCBr,isssty,1,1,0,1,-1,1,External
100,O=C1NCCN1c1ncc([N+](=O)[O-])s1,isssty,1,1,1,0,0,1,Train
101,O=C(O)CCCCC(=O)O,isssty,0,0,-1,0,0,-1,Train
102,C=Cc1ccccc1,isssty,0,0,-1,0,0,-1,Train
103,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,isssty,0,0,-1,0,0,-1,Train
104,C=CCc1ccc(O)c(OC)c1,isssty,0,0,-1,0,0,-1,Train
105,COc1ccccc1[N+](=O)[O-],isssty,0,1,-1,0,0,1,Train
106,CN(C)CCN(Cc1cccs1)c1ccccn1,isssty,0,0,-1,1,0,1,Train
107,CN(C)c1ccccc1,isssty,0,0,0,0,0,0,Train
108,Nc1ccc([N+](=O)[O-])cc1N,isssty,1,1,-1,-1,-1,1,Train
109,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,isssty,0,0,0,0,0,0,Train
110,C=CC(=O)OCCOC(=O)C=C,isssty,0,0,-1,0,0,-1,Train
111,COC(C)(C)C,isssty,0,0,0,0,-1,-1,Train
112,Oc1cccc2cccnc12,isssty,1,1,-1,0,1,1,Train
113,Cc1c2ccccc2c(C)c2c1ccc1ccccc12,isssty,1,1,-1,0,1,1,Train
114,CCOc1ccc(NC(C)=O)cc1N,isssty,1,0,-1,0,1,1,Train
115,ClCCCl,isssty,0,0,-1,1,0,1,External
116,Nc1cc([N+](=O)[O-])ccc1O,isssty,1,0,-1,0,0,1,Train
117,CC(C)CO,isssty,0,0,-1,0,0,-1,Train
118,O=c1oc2cc([N+](=O)[O-])ccc2c2ccccc12,isssty,1,1,-1,1,1,1,External
119,O=CC=O,isssty,1,1,1,1,1,1,Internal
120,O=C(O)CN(CC(=O)O)CC(=O)O,isssty,0,0,0,0,0,0,Train
121,ClC=C(Cl)Cl,isssty,0,0,0,0,0,0,Train
122,Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,isssty,1,1,-1,0,1,1,Train
123,CC1=CC(=O)c2ccccc2C1=O,isssty,0,0,0,0,0,0,Train
124,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,isssty,0,0,-1,0,0,-1,Train
125,C=C[C@@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,isssty,0,0,-1,0,0,-1,Train
126,Cc1ncc([N+](=O)[O-])n1CCO,isssty,-1,1,1,1,0,1,External
127,CN=C=O,isssty,0,0,0,0,0,0,External
128,O=C(O)c1ccccc1C(=O)O,isssty,0,0,0,0,0,0,Train
129,Nc1ccccc1[N+](=O)[O-],isssty,0,0,0,0,0,0,External
130,Cc1ccc(OP(=O)(Oc2ccc(C)cc2)Oc2ccc(C)cc2)cc1,isssty,0,0,-1,0,0,-1,Train
131,C=CC=C,isssty,0,0,-1,1,0,1,Train
132,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,isssty,0,0,-1,0,0,-1,Train
133,CCC1CO1,isssty,0,1,-1,1,0,1,Train
134,CN(N=O)/C(N)=N/[N+](=O)[O-],isssty,1,1,-1,1,1,1,External
135,Nc1c(Br)cc([N+](=O)[O-])cc1[N+](=O)[O-],isssty,1,1,-1,0,1,1,Train
136,CC(O)CCl,isssty,0,0,-1,1,0,1,Train
137,ClCC(Br)CBr,isssty,1,1,-1,1,0,1,Train
138,O=C(O)c1ccc(Cl)cc1,isssty,0,0,-1,0,0,-1,External
139,CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,isssty,0,0,0,0,0,0,Train
140,C=C(C)C(=O)OCCOC(=O)C(=C)C,isssty,0,0,-1,0,0,-1,Internal
141,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,isssty,0,0,-1,0,0,-1,External
142,COc1cc(-c2ccc(N=C=O)c(OC)c2)ccc1N=C=O,isssty,1,0,-1,0,0,1,Train
143,O=[N+]([O-])c1ccc2ccc3ccc([N+](=O)[O-])c4ccc1c2c34,isssty,1,1,-1,-1,-1,1,Internal
144,C=CC(=O)O,isssty,0,0,-1,0,0,-1,External
145,Cc1cc(O)ccc1Cl,isssty,0,0,-1,0,0,-1,Internal
146,Cc1ccccc1[N+](=O)[O-],isssty,0,0,0,0,0,0,External
147,O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,isssty,0,0,-1,-1,-1,-1,Train
148,C=CC(=O)OCCCCCCOC(=O)C=C,isssty,0,0,-1,0,0,-1,External
