94_ames_mutagenicity_data	N[Pt](N)(Cl)Cl
180_ames_mutagenicity_data	S=C([S-])NCCNC1=[SH][Zn+2][SH-]1
187_ames_mutagenicity_data	O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1
191_ames_mutagenicity_data	O=[V](=O)O[V](=O)=O
220_ames_mutagenicity_data	[Na]S[Na]
396_ames_mutagenicity_data	Cl[Hg]Cl
420_ames_mutagenicity_data	Cl[Fe](Cl)Cl
431_ames_mutagenicity_data	O=[Ti]=O
460_ames_mutagenicity_data	[Ga]#[As]
546_ames_mutagenicity_data	C[Hg+]
600_ames_mutagenicity_data	Cl[Ba]Cl
610_ames_mutagenicity_data	[O-][n+]1ccccc1[SH-][Zn+2][SH-]c1cccc[n+]1[O-]
636_ames_mutagenicity_data	COCC[Hg]Cl
653_ames_mutagenicity_data	O=[Zn]
714_ames_mutagenicity_data	[Sb+3].[Sb+3]
729_ames_mutagenicity_data	CCCCCCCCCCCCS[Sn](CCCC)(CCCC)SCCCCCCCCCCCC
732_ames_mutagenicity_data	CCCCCCCCCCCC(=O)O[Sn](CCCC)(CCCC)OC(=O)CCCCCCCCCCC
744_ames_mutagenicity_data	N#C[Na]
763_ames_mutagenicity_data	O=[Mo](=O)=O
779_ames_mutagenicity_data	[O-][Br+2]([O-])[O-]
790_ames_mutagenicity_data	CC(C)CCCCCOC(=O)CS[Sn](C)(SCC(=O)OCCCCCC(C)C)SCC(=O)OCCCCCC(C)C
842_ames_mutagenicity_data	[O-][Cl+2]([O-])[O-]
887_ames_mutagenicity_data	S=S=[Ni][Ni][NiH]
912_ames_mutagenicity_data	[Pt+2]
917_ames_mutagenicity_data	S=C([S-])NCCNC1=[SH][Mn+2][SH-]1
944_ames_mutagenicity_data	Cl[Pt-2](Cl)(Cl)(Cl)(Cl)Cl
960_ames_mutagenicity_data	Cl[Pd-2](Cl)(Cl)Cl
962_ames_mutagenicity_data	Cl[Rh-2](Cl)(Cl)(Cl)Cl
980_ames_mutagenicity_data	Cl[Pd-2](Cl)(Cl)(Cl)(Cl)Cl
1022_ames_mutagenicity_data	C[Hg]Cl
1039_ames_mutagenicity_data	CC[Ge](Cl)(CC)CC
1092_ames_mutagenicity_data	S=[Se]
1139_ames_mutagenicity_data	O=[Zr](Cl)Cl
1183_ames_mutagenicity_data	O=C([O-])C1O[Sb+]OC(C(=O)[O-])C(C(=O)[O-])O[Sb+]OC1C(=O)[O-]
1213_ames_mutagenicity_data	CN(C)C1=[SH][Zn+2]2([SH]=C(N(C)C)[SH-]2)[SH-]1
1240_ames_mutagenicity_data	CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC
1276_ames_mutagenicity_data	N[Pt+2]1(N)OC(=O)C2(CCC2)C(=O)O1
1349_ames_mutagenicity_data	Cl[Pd]Cl
1359_ames_mutagenicity_data	O=C1O[Bi](O)Oc2ccccc21
1416_ames_mutagenicity_data	C[Pb](C)(C)C
1455_ames_mutagenicity_data	CCCC[Sn](CCCC)(OC(C)=O)OC(C)=O
1465_ames_mutagenicity_data	O=[Pb]=O
1525_ames_mutagenicity_data	CCCCCCCC[Sn]1(CCCCCCCC)OC(=O)C=CC(=O)O1
1568_ames_mutagenicity_data	[Ni+2]
1604_ames_mutagenicity_data	O=[Cd]
1624_ames_mutagenicity_data	Cl[V](Cl)(C1C=CC=C1)C1C=CC=C1
