1_ames_mutagenicity_data	c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34
2_ames_mutagenicity_data	CC1(C)COC1=O
3_ames_mutagenicity_data	CN(C)c1ccc(Cc2ccc(N(C)C)cc2)cc1
4_ames_mutagenicity_data	CCN(N=O)c1ccccc1
5_ames_mutagenicity_data	CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1
6_ames_mutagenicity_data	CN(C)N=O
7_ames_mutagenicity_data	C1O[C@@H]1[C@H]1CO1
8_ames_mutagenicity_data	Nc1ccc(-c2ccc(N)cc2)cc1
9_ames_mutagenicity_data	CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC
10_ames_mutagenicity_data	Nc1ccc(-c2ccccc2)cc1
11_ames_mutagenicity_data	COc1ccc([NH3+])c(OC)c1
12_ames_mutagenicity_data	Nc1ccc2cc3ccc([NH3+])cc3nc2c1
13_ames_mutagenicity_data	Nc1ccc2cc3ccccc3cc2c1
14_ames_mutagenicity_data	COC(=O)Nc1nc2ccccc2[nH]1
15_ames_mutagenicity_data	CCN(CC)N=O
16_ames_mutagenicity_data	CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1
17_ames_mutagenicity_data	O=[N+]([O-])c1ccc2ccc3cccc4ccc1c2c34
18_ames_mutagenicity_data	CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2
19_ames_mutagenicity_data	O=C([O-])c1ccccn1.O=C([O-])c1ccccn1.O=C([O-])c1ccccn1.[Cr+3]
20_ames_mutagenicity_data	Nc1ccc(Cl)c(N)c1
21_ames_mutagenicity_data	C[C@H]1Cc2c(Cl)cc(C(=O)N[C@@H](Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1
22_ames_mutagenicity_data	O=[N+]([O-])c1ccc2nc[nH]c2c1
23_ames_mutagenicity_data	c1ccccc1
24_ames_mutagenicity_data	Nc1ccc2c(c1)Cc1ccccc1-2
25_ames_mutagenicity_data	c1ccc2cc3ccccc3cc2c1
26_ames_mutagenicity_data	O=C1c2ccccc2C(=O)c2ccccc21
27_ames_mutagenicity_data	Nc1ccc([N+](=O)[O-])cc1
28_ames_mutagenicity_data	Cc1ccccc1N
29_ames_mutagenicity_data	Nc1ncc([N+](=O)[O-])s1
30_ames_mutagenicity_data	C=CC#N
31_ames_mutagenicity_data	COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O
32_ames_mutagenicity_data	CCNc1nc(Cl)nc(NC(C)C)n1
33_ames_mutagenicity_data	CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
34_ames_mutagenicity_data	COc1c(Cl)c(Cl)c([N+](=O)[O-])c(Cl)c1Cl
35_ames_mutagenicity_data	O=NN1CCCCC1
36_ames_mutagenicity_data	Nc1cccc(N)c1
37_ames_mutagenicity_data	C=C(C)C(=O)OC
38_ames_mutagenicity_data	Nc1ccccc1
39_ames_mutagenicity_data	C=O
40_ames_mutagenicity_data	ClCc1ccccc1
41_ames_mutagenicity_data	N#CC(C#N)=Cc1ccccc1Cl
42_ames_mutagenicity_data	O=[N+]([O-])c1ccc2c(c1)Cc1ccccc1-2
43_ames_mutagenicity_data	CC(=O)Nc1ccc(O)cc1
44_ames_mutagenicity_data	O=N[O-]
45_ames_mutagenicity_data	CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21
46_ames_mutagenicity_data	COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2
47_ames_mutagenicity_data	Nc1ccccc1N
48_ames_mutagenicity_data	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
49_ames_mutagenicity_data	C=Cc1ccccc1C=C
50_ames_mutagenicity_data	O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
51_ames_mutagenicity_data	O=CCCCC=O
52_ames_mutagenicity_data	CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
53_ames_mutagenicity_data	BrC(Br)Br
54_ames_mutagenicity_data	O=C(O)c1ccc(C(=O)O)cc1
55_ames_mutagenicity_data	CS(C)=O
56_ames_mutagenicity_data	C=CCc1ccc2c(c1)OCO2
57_ames_mutagenicity_data	OO
58_ames_mutagenicity_data	Cc1ccc(N)cc1N
59_ames_mutagenicity_data	O=Cc1ccccc1
60_ames_mutagenicity_data	Nc1cc2c3ccccc3ccc2c2ccccc12
61_ames_mutagenicity_data	O=NN1CCCC1
62_ames_mutagenicity_data	CC(=O)Oc1ccccc1C(=O)O
63_ames_mutagenicity_data	COC(=O)c1ccc(C(=O)OC)cc1
64_ames_mutagenicity_data	Nc1ccc(N)c([N+](=O)[O-])c1
65_ames_mutagenicity_data	[N-]=[N+]=[N-]
66_ames_mutagenicity_data	O=P1(N(CCCl)CCCl)NCCCO1
67_ames_mutagenicity_data	O=[N+]([O-])c1cc[n+]([O-])c2ccccc12
68_ames_mutagenicity_data	O=Cc1ccco1
69_ames_mutagenicity_data	ClC(Cl)(Cl)Cl
70_ames_mutagenicity_data	ClCCl
71_ames_mutagenicity_data	CC(C)CON=O
72_ames_mutagenicity_data	CC(=O)Nc1ccc(C(=O)CCl)cc1
73_ames_mutagenicity_data	Cn1c(N)nc2c3cccnc3ccc21
74_ames_mutagenicity_data	O=C(O)COc1ccc(Cl)cc1Cl
75_ames_mutagenicity_data	CN(C)P(=O)(N(C)C)N(C)C
76_ames_mutagenicity_data	O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl
77_ames_mutagenicity_data	N#CC(Br)Br
78_ames_mutagenicity_data	Nc1ccc(N)cc1
79_ames_mutagenicity_data	c1ccc2ccccc2c1
80_ames_mutagenicity_data	CCC(C)=O
81_ames_mutagenicity_data	O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
82_ames_mutagenicity_data	C1N2CN3CN1CN(C2)C3
83_ames_mutagenicity_data	Oc1ccccc1O
84_ames_mutagenicity_data	CCCCOC(C)=O
85_ames_mutagenicity_data	Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O
86_ames_mutagenicity_data	CN(CCCC(=O)c1cccnc1)N=O
87_ames_mutagenicity_data	COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3
88_ames_mutagenicity_data	C1COCCO1
89_ames_mutagenicity_data	Cc1cc(-c2ccc(/N=N/c3cc(S(=O)(=O)[O-])c4ccccc4c3N)c(C)c2)ccc1/N=N/c1cc(S(=O)(=O)[O-])c2ccccc2c1N
90_ames_mutagenicity_data	O=C1CCC(=O)O1
91_ames_mutagenicity_data	ClC(Cl)Br
92_ames_mutagenicity_data	CC=O
93_ames_mutagenicity_data	O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
94_ames_mutagenicity_data	N[Pt](N)(Cl)Cl
95_ames_mutagenicity_data	O=C(Cl)c1ccc([N+](=O)[O-])cc1
96_ames_mutagenicity_data	ClCC1CO1
97_ames_mutagenicity_data	Oc1ccccc1
98_ames_mutagenicity_data	CC(C)C=O
99_ames_mutagenicity_data	BrCCBr
100_ames_mutagenicity_data	O=C1NCCN1c1ncc([N+](=O)[O-])s1
101_ames_mutagenicity_data	O=C(O)CCCCC(=O)O
102_ames_mutagenicity_data	C=Cc1ccccc1
103_ames_mutagenicity_data	CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
104_ames_mutagenicity_data	C=CCc1ccc(O)c(OC)c1
105_ames_mutagenicity_data	COc1ccccc1[N+](=O)[O-]
106_ames_mutagenicity_data	CN(C)CCN(Cc1cccs1)c1ccccn1
107_ames_mutagenicity_data	CN(C)c1ccccc1
108_ames_mutagenicity_data	Nc1ccc([N+](=O)[O-])cc1N
